Brand,philosophy,slogan,tone,Keyword,product,ingredients,copy
IOPE,TRUSTWORTHY 나와 브랜드의 믿음 : 연령별 피부사이클에 맞춘 고효능 제품으로 피부노화 속도를 늦춰 언제나 당당한 피부자신감을 가질 수 있습니다,,고효능,,바이오 컨디셔닝 에센스 폼 클렌져,독자 항산화 성분 BIO-REDOX α 함유 /  바이오 리독스 알파는 피부 항산화 환경을 탄탄하게 만들어 피부 항산화력을 개선시키고 피부 컨디션을 끌어올려주는 핵심 성분 / PHA로 피부결 정돈,"클렌징은 확실하게, 피부에는 더 편안하게 / 피부 컨디션까지 케어하는 바이오 컨디셔닝 클렌징 / 세안에서부터 끌어올리는 피부 컨디션 / 고급스러운 텍스쳐와 향으로 감각적인 클렌징 경험 / 부드럽고 섬세한 거품으로 민감한 피부도 부담 없는 편안한 클렌징"
IOPE,Bio Science 근간의 효능성분(Bio Origin)과 전달기술(Bio Tech) 연구를 통해 확실하게 검증한 고효능 솔루션을 제공합니다,,혁신적인,,슈퍼바이탈 크림 세트,"노화 인자 타겟팅, 최초의 세노뮨 / 랩핑테크포뮬러, 피부 깊숙하게 흡수시키고 가두는 기술 적용",안티에이징 효과를 즉각적으로 앞당기다 / 완전히 새로워진 안티에이징 NEW 슈퍼바이탈 크림 / 6세대 NEW 슈퍼바이탈이 제안하는 완전히 새로운 차원의 안티에이징 스킨케어
IOPE,"단순한 피부 표면의 일시적 개선이 아닌, 피부 겉부터 속까지 피부 전체에 작용하는 효능의 근원적 솔루션을 선사합니다",,,,,,
마몽드,꽃에서 찾은 호능 성분과 최신의 스킨케어 성분을 결합하여 피부 시너지를 생성하는 스킨케어 솔루션,Powered by Hyper Flora,자유로움,하이퍼 플로라,플로라 글로우 로즈 리퀴드 마스크,"건조해서 칙칙하게 생기 잃은 피부를 위한, 로즈 펩타이드 / 장미 꽃잎에서 추출, 농축한 로즈 펩타이드 / 수분 필링 부스터 PHA",촉촉하고 매끈하게 빛나는 수분 결광 리퀴드 마스크 / 엔젤링 결광 / 외곽 각질층 턴오버를 케어하여 매끈한 피부 결 셋팅
마몽드,,하이퍼 플로라로 피어나는 나다운 아름다움,당당함,꽃의 효능,어메이징 딥 민트 클렌징밤,"피부 진정 초성분 함유 / 피지케어력 민트초 / AHA, BHA, PHA / 민트초, 어성초, 센텔라초",메이크업부터 피지까지 퀵 클렌징 / 마스카라까지 지워버리는 놀라운 클렌징력 제공 / 피지케어와 피부 진정까지 / 빠른 유화로 블랙헤드 쏙!
마몽드,,자신만의 독특한 방식으로 삶을 꽃 피울 수 있도록,생기있는,시너지,카밍 샷 아줄렌 흔적 수분 앰플,"시카보다 빠른 진정력의 아줄렌에 나이아산아마이드의 브라이트닝&항산화 시너지 / 건조로 인해 민감해진 피부를 위한 피부 진정 효과, 캐모마일에ㅐ서 추출한 99% 고순도 아줄렌 / 진정, 피지 케어, 장벽 강화 효과에 미백 기능성 고성분인 나이아산아마이드","수분 샷- 진정 샷- / 트러블 잡티 흔적까지 깔끔하게 카밍 샷 / 피지는 닦아내고, 수분 충전은 빠르게! / 피부결부터 탱탱함까지 개선 / 처음 느끼는 쿨링감이 늘어지듯 지속되는 쿨링 테일 효과"
마몽드,,자유롭고 당당한 아름다움,,,프로바이오틱스 세라마이드,7겹 세라마이드 피부 속 장벽 보습 케어 피부 구조와 닮은 세라마이드 / 히비스커스 바이오틱스 피부 겉 생태계 장벽케어 & 피부 본연의 힘 강화 / 건강한 피부 장벽 환경을 위한 수분보습-장벽강화-수분진정 3가지 효능을 담은 마이크로바이옴 성분,피부 장벽 겉과 속 안팎으로 이중 케어가 필요할 때 / 2가지 장벽 기능을 모두 케어하는 진짜 보습 장벽 케어 루틴
설화수,전통의 지혜에서 영감을 받고 최신의 현대기술을 접목하여 솔루션을 만듭니다,Journey to Holistic Beauty,깊이있는,홀리스틱 뷰티,자음 2종 세트,"매화추출물과 카르노신, 글루타치온과 배합하여 강력한 리바이탈라이징 효능을 가진 설화투명단 / 설화수 고유 원료 자음단에 3종 한방 식물 추출물을 더하여 완성한 진정-보습-장벽 3중 케어",설화수 지혜를 담은 독보적 스테디셀러 / 다양한 외부 자극에 깊이가 다른 3중 케어 보습-진정-장벽
설화수,한국의 미학에 동시대적 시선을 더해 우리만의 아름다움을 완성해갑니다,시간의 흐름에 지지 않는 아름다움,조화로운,피부 장수를 위한 인삼,윤조에센스 6세대,"림파낙스, 피부 흐름을 되살리는 500시간 숙성 인삼 / 500시간의 자연 숙성 과정을 거쳐 인삼 속 희귀 사포닌을 강화시킨 림파낙스의 힘으로 피부 수분 순환을 촉진시키고 흐름을 원활하게 하여 윤조에센스가 선사하는 건강한 윤빛 도는 피부로 가꾸어줍니다","정체된 피부 흐름을 되살려 다시 윤빛 도는 피부 / 웰에이징을 위한 FIRSTSTEP, FIRSTCARE / 필수 안티에이징 에센스 / 정체된 피부 능력을 깨워 피부 흐름을 빠르게 순환시켜주고 스스로 회복하는 힘을 되찾아줍니다 / 단 하루만에 되살아나는 피부 장벽 리페어"
설화수,"겉으로 드러나는 문제 해결 뿐 아니라, 눈에 보이지 않는 본질까지 더 넓고 깊게 연구합니다. 그러므로 설화수의 홀리스틱 뷰티란 부분이 아닌 전체를 보는 시선, 숨겨진 본질에 대한 사유, 과거와 미래의 시공간을 초월하는 진화입니다.",5종 식물 원료 조합의 시너지,홀리스틱,자음단,,,
설화수,"우리 땅에서 나는 원료를 넣은 글로벌 제품을 만들고자 우수한 효능을 인정받아온 귀한 원료, 고려인삼을 스킨케어에 접목","피부 능력을 키우고, 홀리스틱 뷰티를 추구하는 설화수의 철학을 담은 독자 성분, 자음단
",,자생력,,,
이니스프리,"무한한 자연의 힘을 담은 다채로운 식물과 생명력 가득한 토양을 품은 대지, 그리고 미지의 에너지로 가득한 청록의 바다 이 모든 것들이 자유롭게 살아 숨쉬는 THE NEW ISLE","Effective, Nature-Powered Skincare Discovered from the Island",자연주의적인,그린티,그린티 아미노 수분 클렌징 폼,아미노산이 고농축된 뷰티 그린티에 아미노산 콤플렉스와 히알루론산이 더해진 포뮬러로 클렌징 후에도 속당김 없는 촉촉함을 남깁니다 / 부드럽고 풍성한 거품으로 피부 유수분 밸런스 케어,클렌징 유목민들의 정착템 / 이니스프리 대표 폼 클렌저 / 기본에 충실한 인생 클렌저 / 데일리 저자극 클렌징폼
이니스프리,"천혜의 자연환경과 경이로운 생명력을 가진 제주. 그곳의 흙과 빛, 물과 바람, 그리고 안개가 조화롭게 어우러진 청록의 다원은 이니스프리의 시작점입니다","Enjoy being you, Be free with INNISFREE",자유로운,제주,레티놀 PDRN 앰플 겔 마스크,"해조류 탄성 성분 함유 원단 / 농축 세럼 포뮬라 / 레티놀, 그린티 PDRN 핵심 성분 함유로 더욱 탄력있고 반짝이는 피부 / 6중 펩타이드, 세라마이드 함유로 마르지 않는 피부 바탕 완성","붙이는 속광 앰플 마스크의 탄생 / 촘촘하게 빛나는 피부를 위한 탄력 집중 포뮬러 / 1등 속광 앰플의 핵심 성분을 한 장에! / 원단부터 남다르니까, 도톰하게 착붙 / 두꺼운 쿠션감으로 완벽밀착 겔 마스크 "
이니스프리,"돌무더기와 가시덤불이 가득했던 황무지를 손으로 일구어 비옥한 차밭으로 개간한 창업주의 끈질긴 집념과 개척 정신은 ‘건강한 피부를 위해 끊임없이 도전하고 연구’하는 오늘날 이니스프리의 근간이 되었고, 이것의 산물이라고 할 수 있는 ‘그린티’는 이니스프리의 정수가 되는 원료로 자리 잡았습니다",이니스프리와 함께 겉으로 보이는 아름다움을 넘어 당신의 모든 아름다운 찰나를 발견해보세요,,THE NEW ISLE,마이 퍼퓸드 핸드크림,프로텍션 패치 시스템을 적용한 식물 유래 왁스를 함유한 포뮬러가 향과 보습감을 더욱 오래 지켜줍니다 / 시어버터 함유 포뮬러가 미끌거림 없이 산뜻하게 흡수되어 건조한 손 피부에 빠르게 보습감을 더해줍니다,"매일 색다르게 즐길 수 있는 7가지 향의 미니 사이즈 핸드크림 / 손 세정을 자주해서 건조한 손이 고민이라면, 다채로운 향으로 매일 색다른 분위기를 연출하고 싶다면 / 살 냄새처럼 은은하게 오래가는 향기"
이니스프리,,Green Tea’ the Origin of INNISFREE,,,노세범 미네랄 파우더,,유분과 과다 분비된 피지를 케어해주는 기름종이 파우더 / 과다 분비된 피지를 쏙쏙 피지 케어 파우더 / 깔끔하게 지속되는 메이크업 파워 고정 / 다양하게 활용 가능한 멀티 유즈 파우더 / 피부가 편안한 데일리 파우더
